ID,TARGET
2,0.041285347
5,0.048389617
6,0.0016194854
7,0.012062983
9,0.0020578592
11,0.24228796
12,0.05915029
15,0.19150797
16,0.030902216
17,0.02453452
19,0.02942117
21,0.003436513
22,0.018040251
24,0.01155767
27,0.008751389
28,0.019490482
30,0.100081995
33,0.0025016207
35,0.013541247
37,0.02250299
38,0.019910645
40,0.17944205
41,0.03124936
44,0.012280352
46,0.09153671
47,0.008595553
48,0.0026303262
50,0.0029563254
52,0.16035317
53,0.009992453
55,0.025594201
57,0.0017755808
58,0.0059715603
59,0.016436446
62,0.025989275
63,0.012598751
64,0.023107141
65,0.014553014
67,0.017802613
69,0.060318504
70,0.002689205
71,0.06774351
72,0.0039871624
73,0.0012206924
76,0.0047256458
78,0.002603782
79,0.04161491
81,0.0014061728
85,0.01208274
86,0.0030837962
89,0.028071577
94,0.08271595
96,0.0034821564
97,0.017619949
98,0.0021284362
99,0.021258704
100,0.25333297
103,0.08688697
104,0.0050305924
108,0.00808926
110,0.00292273
112,0.026333753
114,0.04304546
116,0.014571031
117,0.021078832
119,0.00640228
120,0.005570202
121,0.0011350954
123,0.024353003
124,0.026731363
126,0.0015454045
128,0.014471194
129,0.09863242
133,0.038149312
138,0.02276098
147,0.036297586
149,0.017635597
158,0.0024971755
160,0.010280327
164,0.03931439
167,0.057460137
168,0.015480027
174,0.011686817
181,0.025935557
185,0.030565767
187,0.0039935033
189,0.012278832
190,0.056816727
194,0.009425132
197,0.082181476
198,0.021049144
201,0.03656493
205,0.009195575
208,0.14926776
211,0.013178323
216,0.041599493
219,0.10410917
223,0.0077392096
224,0.10642163
226,0.016436446
229,0.014352295
230,0.020177973
237,0.024962928
238,0.022394342
240,0.08214969
243,0.0017624133
245,0.13100262
246,0.228774
247,0.008534101
248,0.010452181
249,0.002689205
250,0.23832285
251,0.0015454045
255,0.08315913
256,0.030874033
257,0.089490086
260,0.1628398
261,0.0026664496
263,0.21002798
264,0.1450707
267,0.006234638
268,0.017005775
272,0.009380203
274,0.00797107
275,0.0037263527
277,0.24343063
278,0.28017852
280,0.006319453
281,0.0128374295
282,0.09304478
283,0.012063453
284,0.073118806
286,0.014439537
290,0.02098379
291,0.030313963
293,0.025594201
295,0.10582577
297,0.0012005183
298,0.081562765
300,0.002590229
304,0.0059943004
305,0.0039026148
308,0.004663489
309,0.007780691
310,0.0038097333
312,0.02721236
313,0.1450707
315,0.0114220595
317,0.02383333
318,0.03097827
321,0.013086867
323,0.098566085
325,0.009397978
326,0.016436446
327,0.014084344
328,0.09222404
329,0.018015686
330,0.0027329377
331,0.011030089
334,0.048373654
335,0.010331804
336,0.057460256
337,0.004272182
338,0.05192973
339,0.016436446
341,0.28673708
343,0.007708421
346,0.0023628778
348,0.0030837962
350,0.16865616
351,0.0023040946
352,0.01869069
357,0.05733567
358,0.01155767
360,0.013374395
361,0.016436446
364,0.021177363
365,0.03619407
366,0.018457003
367,0.009292836
368,0.008013673
370,0.0029329236
372,0.0032980682
376,0.0013582038
377,0.004932433
379,0.017429765
380,0.013243107
381,0.09358358
385,0.010701322
386,0.03288903
389,0.051137153
391,0.060144346
392,0.0024338437
393,0.013427952
395,0.015561228
396,0.008282617
397,0.0015037596
398,0.025120623
399,0.03671246
400,0.008142751
401,0.01109917
403,0.005209259
405,0.028141672
406,0.02256593
409,0.009992453
411,0.015414686
413,0.002870502
418,0.003920374
419,0.019702401
422,0.01869069
424,0.23417242
425,0.02643022
427,0.0034821564
430,0.0017585676
431,0.016436446
434,0.03097827
435,0.026731363
437,0.08225679
438,0.0015439154
439,0.11809496
